triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,build_success
T12_p21,8,mix_s12,D1_default_4gb,-1,0.5132,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T13_p29,8,mix_s1,D1_default_4gb,-1,0.5157,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T13_p29,8,mix_s01,D1_default_4gb,-1,0.5103,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T13_p29,8,mix_s02,D1_default_4gb,-1,0.5101,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T13_p29,8,mix_s12,D1_default_4gb,-1,0.5147,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T14_p36,8,mix_s1,D1_default_4gb,-1,0.5451,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T14_p36,8,mix_s01,D1_default_4gb,-1,0.5413,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T14_p36,8,mix_s02,D1_default_4gb,-1,0.5415,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T14_p36,8,mix_s12,D1_default_4gb,-1,0.5449,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T15_p39,8,mix_s1,D1_default_4gb,-1,0.5025,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T15_p39,8,mix_s01,D1_default_4gb,-1,0.4585,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T15_p39,8,mix_s02,D1_default_4gb,-1,0.4587,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T15_p39,8,mix_s12,D1_default_4gb,-1,0.5037,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T16_p54,8,mix_s1,D1_default_4gb,-1,0.5363,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T16_p54,8,mix_s01,D1_default_4gb,-1,0.5346,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T16_p54,8,mix_s02,D1_default_4gb,-1,0.5332,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T16_p54,8,mix_s12,D1_default_4gb,-1,0.5355,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T17_p57,8,mix_s1,D1_default_4gb,-1,0.5203,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T17_p57,8,mix_s01,D1_default_4gb,-1,0.5242,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T17_p57,8,mix_s02,D1_default_4gb,-1,0.5239,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T17_p57,8,mix_s12,D1_default_4gb,-1,0.5193,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T18_p64,8,mix_s1,D1_default_4gb,-1,0.4934,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T18_p64,8,mix_s01,D1_default_4gb,-1,0.4882,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T18_p64,8,mix_s02,D1_default_4gb,-1,0.4882,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T18_p64,8,mix_s12,D1_default_4gb,-1,0.4932,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T19_p71,8,mix_s1,D1_default_4gb,-1,0.5248,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T19_p71,8,mix_s01,D1_default_4gb,-1,0.5162,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T19_p71,8,mix_s02,D1_default_4gb,-1,0.5164,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T19_p71,8,mix_s12,D1_default_4gb,-1,0.5236,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T20_p79,8,mix_s1,D1_default_4gb,-1,0.5521,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T20_p79,8,mix_s01,D1_default_4gb,-1,0.5522,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T20_p79,8,mix_s02,D1_default_4gb,-1,0.5515,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T20_p79,8,mix_s12,D1_default_4gb,-1,0.5515,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T21_p82,8,mix_s1,D1_default_4gb,-1,0.5099,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T21_p82,8,mix_s01,D1_default_4gb,-1,0.5159,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T21_p82,8,mix_s02,D1_default_4gb,-1,0.5163,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T21_p82,8,mix_s12,D1_default_4gb,-1,0.5085,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T22_p89,8,mix_s1,D1_default_4gb,-1,0.5442,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T22_p89,8,mix_s01,D1_default_4gb,-1,0.5405,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T22_p89,8,mix_s02,D1_default_4gb,-1,0.5415,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T22_p89,8,mix_s12,D1_default_4gb,-1,0.5441,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T_g8_p87,8,mix_s1,D1_default_4gb,-1,0.5704,,plan4_phaseA_phaseCstage1,8,8,8,0.9464285714285714,True
T_g8_p87,8,mix_s01,D1_default_4gb,-1,0.5718,,plan4_phaseA_phaseCstage1,8,8,8,0.9464285714285714,True
